pooling,K,zscore,f1_mean,f1_std,precision,recall
mean,0,on,0.9440,0.0120,0.9620,0.9266
mean,0,off,0.9350,0.0086,0.9520,0.9190
topk,1,on,0.9402,0.0106,0.9504,0.9306
topk,1,off,0.9292,0.0093,0.9372,0.9220
topk,2,on,0.9472,0.0085,0.9512,0.9432
topk,2,off,0.9332,0.0093,0.9448,0.9224
topk,3,on,0.9452,0.0092,0.9514,0.9394
topk,3,off,0.9332,0.0100,0.9396,0.9272
topk,4,on,0.9486,0.0094,0.9562,0.9412
topk,4,off,0.9346,0.0092,0.9404,0.9292
topk,5,on,0.9488,0.0131,0.9592,0.9384
topk,5,off,0.9328,0.0095,0.9450,0.9216
topk,6,on,0.9450,0.0124,0.9468,0.9436
topk,6,off,0.9314,0.0117,0.9396,0.9240
topk,7,on,0.9430,0.0105,0.9464,0.9400
topk,7,off,0.9342,0.0086,0.9400,0.9282
topk,8,on,0.9430,0.0109,0.9510,0.9362
topk,8,off,0.9358,0.0084,0.9444,0.9278
topk,9,on,0.9450,0.0141,0.9594,0.9314
topk,9,off,0.9364,0.0126,0.9582,0.9156
topk,10,on,0.9454,0.0124,0.9500,0.9410
topk,10,off,0.9354,0.0102,0.9352,0.9350
topk,11,on,0.9426,0.0082,0.9476,0.9378
topk,11,off,0.9338,0.0096,0.9392,0.9290
topk,12,on,0.9462,0.0118,0.9548,0.9386
topk,12,off,0.9364,0.0105,0.9430,0.9306
topk,13,on,0.9448,0.0101,0.9472,0.9428
topk,13,off,0.9370,0.0080,0.9466,0.9282
topk,14,on,0.9454,0.0124,0.9502,0.9408
topk,14,off,0.9376,0.0107,0.9474,0.9284
topk,15,on,0.9478,0.0097,0.9518,0.9446
topk,15,off,0.9372,0.0105,0.9468,0.9284
topk,16,on,0.9462,0.0121,0.9544,0.9382
topk,16,off,0.9360,0.0091,0.9488,0.9234
topk,17,on,0.9440,0.0135,0.9510,0.9376
topk,17,off,0.9358,0.0116,0.9512,0.9210
topk,18,on,0.9440,0.0106,0.9538,0.9346
topk,18,off,0.9384,0.0090,0.9526,0.9250
topk,19,on,0.9462,0.0120,0.9582,0.9354
topk,19,off,0.9348,0.0092,0.9480,0.9220
topk,20,on,0.9436,0.0117,0.9488,0.9384
topk,20,off,0.9372,0.0107,0.9470,0.9290
topk,21,on,0.9436,0.0107,0.9582,0.9300
topk,21,off,0.9392,0.0086,0.9574,0.9216
topk,22,on,0.9418,0.0129,0.9516,0.9324
topk,22,off,0.9384,0.0100,0.9522,0.9250
topk,23,on,0.9444,0.0113,0.9498,0.9390
topk,23,off,0.9400,0.0127,0.9482,0.9326
topk,24,on,0.9440,0.0108,0.9484,0.9398
topk,24,off,0.9392,0.0070,0.9502,0.9290
topk,25,on,0.9438,0.0096,0.9504,0.9378
topk,25,off,0.9354,0.0096,0.9542,0.9176
topk,26,on,0.9376,0.0141,0.9378,0.9378
topk,26,off,0.9368,0.0106,0.9494,0.9250
topk,27,on,0.9444,0.0108,0.9622,0.9276
topk,27,off,0.9382,0.0121,0.9496,0.9282
topk,28,on,0.9430,0.0135,0.9562,0.9304
topk,28,off,0.9394,0.0110,0.9554,0.9238
topk,29,on,0.9448,0.0092,0.9550,0.9356
topk,29,off,0.9386,0.0118,0.9568,0.9210
topk,30,on,0.9476,0.0145,0.9578,0.9380
topk,30,off,0.9384,0.0130,0.9462,0.9318
