pooling,K,zscore,f1_mean,f1_std,precision,recall
mean,0,on,0.9204,0.0085,0.9230,0.9178
mean,0,off,0.9026,0.0021,0.9172,0.8898
topk,1,on,0.9284,0.0104,0.9322,0.9248
topk,1,off,0.9142,0.0057,0.9208,0.9088
topk,2,on,0.9280,0.0089,0.9414,0.9150
topk,2,off,0.9148,0.0056,0.9216,0.9088
topk,3,on,0.9272,0.0045,0.9326,0.9220
topk,3,off,0.9180,0.0057,0.9228,0.9140
topk,4,on,0.9290,0.0089,0.9420,0.9164
topk,4,off,0.9146,0.0031,0.9142,0.9154
topk,5,on,0.9276,0.0054,0.9290,0.9264
topk,5,off,0.9130,0.0068,0.9282,0.8992
topk,6,on,0.9270,0.0062,0.9318,0.9222
topk,6,off,0.9096,0.0074,0.9232,0.8970
topk,7,on,0.9252,0.0045,0.9306,0.9200
topk,7,off,0.9120,0.0049,0.9188,0.9056
topk,8,on,0.9238,0.0076,0.9240,0.9234
topk,8,off,0.9110,0.0047,0.9226,0.8998
topk,9,on,0.9236,0.0063,0.9250,0.9224
topk,9,off,0.9136,0.0040,0.9260,0.9020
topk,10,on,0.9202,0.0044,0.9320,0.9090
topk,10,off,0.9086,0.0048,0.9174,0.9002
topk,11,on,0.9262,0.0017,0.9360,0.9168
topk,11,off,0.9094,0.0062,0.9170,0.9020
topk,12,on,0.9230,0.0055,0.9288,0.9176
topk,12,off,0.9070,0.0036,0.9214,0.8956
topk,13,on,0.9220,0.0035,0.9220,0.9220
topk,13,off,0.9106,0.0045,0.9202,0.9012
topk,14,on,0.9204,0.0075,0.9226,0.9184
topk,14,off,0.9090,0.0036,0.9198,0.8994
topk,15,on,0.9234,0.0039,0.9300,0.9170
topk,15,off,0.9098,0.0060,0.9112,0.9098
topk,16,on,0.9220,0.0046,0.9256,0.9190
topk,16,off,0.9076,0.0049,0.9174,0.8980
topk,17,on,0.9228,0.0026,0.9340,0.9122
topk,17,off,0.9104,0.0031,0.9112,0.9096
topk,18,on,0.9194,0.0048,0.9304,0.9090
topk,18,off,0.9080,0.0053,0.9238,0.8924
topk,19,on,0.9232,0.0045,0.9322,0.9140
topk,19,off,0.9090,0.0069,0.9226,0.8968
topk,20,on,0.9232,0.0083,0.9356,0.9118
topk,20,off,0.9086,0.0065,0.9112,0.9068
topk,21,on,0.9218,0.0064,0.9262,0.9174
topk,21,off,0.9084,0.0049,0.9178,0.9000
topk,22,on,0.9232,0.0031,0.9250,0.9216
topk,22,off,0.9086,0.0049,0.9056,0.9120
topk,23,on,0.9228,0.0044,0.9334,0.9126
topk,23,off,0.9092,0.0070,0.9216,0.8976
topk,24,on,0.9228,0.0068,0.9316,0.9142
topk,24,off,0.9104,0.0070,0.9224,0.9002
topk,25,on,0.9222,0.0047,0.9392,0.9062
topk,25,off,0.9102,0.0064,0.9158,0.9050
topk,26,on,0.9248,0.0068,0.9286,0.9216
topk,26,off,0.9088,0.0046,0.9190,0.9000
topk,27,on,0.9176,0.0041,0.9300,0.9058
topk,27,off,0.9098,0.0064,0.9152,0.9046
topk,28,on,0.9230,0.0060,0.9380,0.9090
topk,28,off,0.9096,0.0076,0.9190,0.9012
topk,29,on,0.9220,0.0035,0.9298,0.9146
topk,29,off,0.9112,0.0049,0.9164,0.9066
topk,30,on,0.9206,0.0078,0.9262,0.9150
topk,30,off,0.9078,0.0058,0.9250,0.8914
