pooling,K,zscore,f1_mean,f1_std,precision,recall
mean,0,on,0.8934,0.0439,0.8832,0.9064
mean,0,off,0.9030,0.0258,0.8546,0.9592
topk,1,on,0.9076,0.0344,0.8896,0.9318
topk,1,off,0.9182,0.0267,0.8690,0.9748
topk,2,on,0.8958,0.0296,0.8836,0.9112
topk,2,off,0.9150,0.0251,0.8694,0.9654
topk,3,on,0.8920,0.0223,0.8920,0.8972
topk,3,off,0.9148,0.0246,0.8970,0.9420
topk,4,on,0.8924,0.0257,0.8872,0.9018
topk,4,off,0.9220,0.0127,0.8706,0.9804
topk,5,on,0.9004,0.0132,0.8922,0.9104
topk,5,off,0.9196,0.0208,0.8712,0.9746
topk,6,on,0.8992,0.0166,0.9044,0.8940
topk,6,off,0.9156,0.0164,0.8594,0.9806
topk,7,on,0.8928,0.0105,0.8638,0.9256
topk,7,off,0.9172,0.0215,0.8510,0.9954
topk,8,on,0.8894,0.0344,0.8896,0.8972
topk,8,off,0.9244,0.0163,0.8720,0.9852
topk,9,on,0.8972,0.0286,0.8590,0.9406
topk,9,off,0.9088,0.0136,0.8490,0.9798
topk,10,on,0.8958,0.0243,0.8688,0.9256
topk,10,off,0.9108,0.0151,0.8640,0.9690
topk,11,on,0.8934,0.0262,0.8828,0.9126
topk,11,off,0.9118,0.0190,0.8840,0.9500
topk,12,on,0.8856,0.0315,0.8774,0.8962
topk,12,off,0.9130,0.0201,0.8590,0.9754
topk,13,on,0.8910,0.0303,0.8804,0.9066
topk,13,off,0.9116,0.0187,0.8790,0.9538
topk,14,on,0.8944,0.0239,0.8906,0.9004
topk,14,off,0.9156,0.0213,0.9068,0.9280
topk,15,on,0.8898,0.0337,0.8862,0.8962
topk,15,off,0.9086,0.0160,0.8602,0.9690
topk,16,on,0.8822,0.0272,0.8484,0.9190
topk,16,off,0.9106,0.0193,0.9102,0.9144
topk,17,on,0.8962,0.0227,0.8808,0.9164
topk,17,off,0.9066,0.0127,0.8594,0.9598
topk,18,on,0.8878,0.0330,0.8788,0.9014
topk,18,off,0.9122,0.0160,0.8816,0.9480
topk,19,on,0.8994,0.0205,0.8770,0.9260
topk,19,off,0.9104,0.0189,0.8824,0.9438
topk,20,on,0.8840,0.0168,0.8664,0.9062
topk,20,off,0.9074,0.0181,0.8874,0.9332
topk,21,on,0.8754,0.0310,0.8524,0.9014
topk,21,off,0.9070,0.0206,0.9138,0.9034
topk,22,on,0.8878,0.0227,0.8782,0.9012
topk,22,off,0.9108,0.0197,0.8856,0.9428
topk,23,on,0.8900,0.0216,0.8844,0.9018
topk,23,off,0.9104,0.0230,0.8900,0.9374
topk,24,on,0.8978,0.0141,0.8686,0.9310
topk,24,off,0.9056,0.0162,0.8760,0.9384
topk,25,on,0.9026,0.0222,0.8732,0.9354
topk,25,off,0.9064,0.0130,0.9000,0.9172
topk,26,on,0.9000,0.0124,0.8564,0.9490
topk,26,off,0.9062,0.0205,0.8512,0.9702
topk,27,on,0.8958,0.0169,0.8612,0.9342
topk,27,off,0.9086,0.0172,0.8514,0.9748
topk,28,on,0.8968,0.0219,0.8754,0.9204
topk,28,off,0.9088,0.0234,0.8652,0.9638
topk,29,on,0.8970,0.0137,0.8578,0.9410
topk,29,off,0.9140,0.0223,0.9036,0.9284
topk,30,on,0.8800,0.0360,0.8738,0.8912
topk,30,off,0.9080,0.0197,0.8848,0.9378
